日期,日度加权情绪总和,帖子数,情绪均值,指数1_强度*热度,归一化情绪因子,情绪拟合值
2022-10-28,-184.5362211514991,45,-4.100804914477758,-15.700511454495466,-0.6508870127470509,-0.132568492914813
2022-10-29,6.317834294541027,5,1.2635668589082054,2.2640078844515266,0.1528472368683416,-0.1197183696424218
2022-10-30,10.502357751130678,6,1.7503929585217797,3.406107422822487,0.2100619329566257,-0.09016482632404282
2022-10-31,-180.6107867901634,41,-4.405141141223497,-16.46496220780119,-0.6731323486122672,-0.07452142100486285
2022-11-01,-69.01069333673351,29,-2.3796790805770174,-8.093758258054757,-0.3650215753925852,-0.10085141239974992
2022-11-02,-85.42402171915971,12,-7.118668476596643,-18.259024135028252,-0.720850849419312,-0.09101775184341013
2022-11-03,-18.27671739499192,20,-0.913835869749596,-2.782193809849145,-0.1070196515195422,-0.060634469050643076
2022-11-04,10.088155434418242,14,0.7205825310298745,1.951373668066191,0.1369876557025426,-0.07335249600230041
2022-11-05,21.71785578376611,2,10.858927891883056,11.929751623783616,0.5749706272288382,-0.06084639166146249
2022-11-06,10.838878145349788,1,10.838878145349788,7.512937826882014,0.4020108260689041,-0.05839268867027065
2022-11-07,8.508618020601258,10,0.8508618020601257,2.0402774929646785,0.1415051668014399,-0.04148710564032228
2022-11-08,-74.49342717672984,17,-4.38196630451352,-12.665511650618502,-0.5508269595542697,-0.02399876710359592
2022-11-09,-52.99915912634777,17,-3.117597595667516,-9.011016043002371,-0.4054867475084883,-0.020065871368250908
2022-11-10,-45.65258504852085,13,-3.511737311424681,-9.267676091398686,-0.4165394477593515,0.006290539534675725
2022-11-11,-68.20884371150869,32,-2.1315263659846466,-7.452898056130485,-0.335895640116657,0.041614992631632944
2022-11-12,20.44987207069,4,5.1124680176725,8.228199853748931,0.4326145171237244,0.07492217149865309
2022-11-13,15.985589067012356,4,3.996397266753089,6.431953274260436,0.354018213410268,0.07277462333728694
2022-11-14,23.87971809798434,6,3.979953016330724,7.744630967241262,0.4120276281877779,0.0789528477611165
2022-11-15,103.27827703772115,21,4.918013192272436,15.201787563490353,0.6774944574016113,0.07752805173264463
2022-11-16,-18.490431984630412,19,-0.9731806307700218,-2.9153886235953843,-0.1138373857901492,0.09269639042634759
2022-11-17,21.222571108438817,5,4.244514221687764,7.605148548982198,0.4060090992641976,0.10363054640985347
2022-11-18,28.35470033020882,9,3.150522258912092,7.25434558851691,0.3907164320147542,0.12916292591276368
2022-11-19,19.975972564538857,4,4.993993141134714,8.03752189577807,0.4245489052744297,0.11682197458113809
2022-11-20,13.474253035772229,2,6.737126517886114,7.401489982861477,0.3971578958476976,0.12419656444923828
2022-11-21,-55.0499759906621,27,-2.038887999654152,-6.793991788189664,-0.3052651143340731,0.15409302874204403
2022-11-22,-84.03775759543602,23,-3.653815547627653,-11.61202249652294,-0.51166132576907,0.16169742321268613
2022-11-23,-5.700993772566192,3,-1.900331257522064,-2.634418506562708,-0.0994438300848717,0.15576994277777384
2022-11-24,-10.99224770413272,11,-0.9992952458302472,-2.4831554014651163,-0.0916772523404739,0.17584987565276033
2022-11-25,-45.16472277890645,23,-1.9636835990828887,-6.240692183656816,-0.2790435228714615,0.18573239133466404
2022-11-26,76.13370871302276,4,19.03342717825569,30.633119304238303,0.9252158000946936,0.1785040403671632
2022-11-27,8.31215258861397,10,0.8312152588613969,1.993167139901617,0.1391120483494553,0.17979954320383032
2022-11-28,-16.425915985798095,7,-2.346559426542585,-4.879533151573064,-0.2128088410152385,0.16453258035411045
2022-11-29,100.40035320987045,10,10.040035320987045,24.074953234923505,0.8576158954069646,0.13562126542879122
2022-11-30,-22.28905948558219,14,-1.592075677541585,-4.311420858736427,-0.1845344712028575,0.140078733747097
2022-12-01,74.4942749595167,38,1.9603756568293869,7.181957068366355,0.3875333651522196,0.14385923117302568
2022-12-02,-2.270469060573413,27,-0.0840914466879041,-0.280209897920592,0.0222138198944469,0.16608687842547806
2022-12-04,-6.647017200975391,3,-2.2156724003251305,-3.071574154659701,-0.1218182456581992,0.1690732178616925
2022-12-05,73.77348417501885,13,5.674883398078373,14.976342626410675,0.6711242601850043,0.13789247852338035
2022-12-06,49.21088483129344,18,2.7339380461829688,8.049913749807272,0.425075148742965,0.11935089354934263
2022-12-07,-35.38691441255974,23,-1.5385614961982497,-4.889631256218713,-0.2133083543823938,0.08498299268342316
2022-12-08,-70.18193041561433,15,-4.678795361040955,-12.972375251689956,-0.561806442125023,0.06160796037055667
2022-12-09,14.58563184734162,6,2.430938641223604,4.730388173687743,0.2746239234086296,0.07512777334835113
2022-12-10,13.826544597731363,1,13.826544597731363,9.583830404803836,0.4879416307568061,0.06164814900423306
2022-12-12,20.462729857548204,10,2.0462729857548205,4.906748319396492,0.2830519943613361,0.056830099211655064
2022-12-13,-48.1117086268485,24,-2.004654526118687,-6.452733991336061,-0.2891442352815525,0.06075885583578024
2022-12-14,-13.208735949989627,24,-0.5503639979162345,-1.77155336777038,-0.0550058179069241,0.05020386647125091
2022-12-15,2.4655460913994403,2,1.23277304569972,1.354339617144526,0.1065114925708459,0.060156622815538414
2022-12-16,36.37560618799169,4,9.093901546997923,14.636069921681573,0.6613186390681209,0.07338786056838123
